date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-06-16 00:00:00+00:00,54.46,56.07,53.59,55.72,50949745,54.46,56.07,53.59,55.72,50949745,0.0,1.0
2020-06-17 00:00:00+00:00,54.55,55.82,54.3,54.79,45146545,54.55,55.82,54.3,54.79,45146545,0.0,1.0
2020-06-18 00:00:00+00:00,54.04,55.12,53.65,54.62,40354724,54.04,55.12,53.65,54.62,40354724,0.0,1.0
2020-06-19 00:00:00+00:00,54.23,55.46,53.82,54.41,52801461,54.23,55.46,53.82,54.41,52801461,0.0,1.0
2020-06-22 00:00:00+00:00,54.76,55.17,53.74,54.67,44704781,54.76,55.17,53.74,54.67,44704781,0.0,1.0
2020-06-23 00:00:00+00:00,53.99,55.37,53.87,55.05,48089011,53.99,55.37,53.87,55.05,48089011,0.0,1.0
2020-06-24 00:00:00+00:00,52.39,54.74,51.92,53.94,53535548,52.39,54.74,51.92,53.94,53535548,0.0,1.0
2020-06-25 00:00:00+00:00,51.93,52.7,50.54,52.56,51129614,51.93,52.7,50.54,52.56,51129614,0.0,1.0
2020-06-26 00:00:00+00:00,50.1,51.95,49.45,51.85,65485729,50.1,51.95,49.45,51.85,65485729,0.0,1.0
2020-06-29 00:00:00+00:00,50.28,50.28,48.42,50.15,49905813,50.28,50.28,48.42,50.15,49905813,0.0,1.0
2020-06-30 00:00:00+00:00,52.61,52.77,50.82,51.16,42275739,52.61,52.77,50.82,51.16,42275739,0.0,1.0
2020-07-01 00:00:00+00:00,52.58,52.87,51.6,52.63,32372675,52.58,52.87,51.6,52.63,32372675,0.0,1.0
2020-07-02 00:00:00+00:00,52.34,53.19,52.05,53.03,29082825,52.34,53.19,52.05,53.03,29082825,0.0,1.0
2020-07-06 00:00:00+00:00,53.4,53.52,52.33,52.9,36790229,53.4,53.52,52.33,52.9,36790229,0.0,1.0
2020-07-07 00:00:00+00:00,52.93,54.17,52.86,53.28,32153104,52.93,54.17,52.86,53.28,32153104,0.0,1.0
2020-07-08 00:00:00+00:00,53.43,53.47,52.07,53.01,35609484,53.43,53.47,52.07,53.01,35609484,0.0,1.0
2020-07-09 00:00:00+00:00,57.26,57.58,53.31,53.52,87216465,57.26,57.58,53.31,53.52,87216465,0.0,1.0
2020-07-10 00:00:00+00:00,55.88,58.15,55.51,57.54,59877388,55.88,58.15,55.51,57.54,59877388,0.0,1.0
2020-07-13 00:00:00+00:00,53.59,58.35,53.38,56.68,57743221,53.59,58.35,53.38,56.68,57743221,0.0,1.0
2020-07-14 00:00:00+00:00,54.72,54.86,52.26,53.3,54890114,54.72,54.86,52.26,53.3,54890114,0.0,1.0
2020-07-15 00:00:00+00:00,55.34,55.37,53.59,54.96,42376779,55.34,55.37,53.59,54.96,42376779,0.0,1.0
2020-07-16 00:00:00+00:00,54.92,55.15,53.74,54.68,36887082,54.92,55.15,53.74,54.68,36887082,0.0,1.0
2020-07-17 00:00:00+00:00,55.04,55.81,54.68,55.31,34710407,55.04,55.81,54.68,55.31,34710407,0.0,1.0
2020-07-20 00:00:00+00:00,57.46,57.53,54.83,55.23,44710211,57.46,57.53,54.83,55.23,44710211,0.0,1.0
2020-07-21 00:00:00+00:00,57.0,58.5,56.32,57.81,44337135,57.0,58.5,56.32,57.81,44337135,0.0,1.0
2020-07-22 00:00:00+00:00,61.79,62.0,56.97,57.07,135159420,61.79,62.0,56.97,57.07,135159420,0.0,1.0
2020-07-23 00:00:00+00:00,59.57,62.33,58.6342,61.63,106829109,59.57,62.33,58.6342,61.63,106829109,0.0,1.0
2020-07-24 00:00:00+00:00,69.4,69.94,64.05,64.18,205314531,69.4,69.94,64.05,64.18,205314531,0.0,1.0
2020-07-27 00:00:00+00:00,68.97,71.63,67.79,69.28,107918075,68.97,71.63,67.79,69.28,107918075,0.0,1.0
2020-07-28 00:00:00+00:00,67.61,69.8,67.02,68.1,94181374,67.61,69.8,67.02,68.1,94181374,0.0,1.0
2020-07-29 00:00:00+00:00,76.09,77.19,73.9,75.5,132969679,76.09,77.19,73.9,75.5,132969679,0.0,1.0
2020-07-30 00:00:00+00:00,78.2,78.96,75.07,75.37,80286888,78.2,78.96,75.07,75.37,80286888,0.0,1.0
2020-07-31 00:00:00+00:00,77.43,78.96,75.36,78.67,71699667,77.43,78.96,75.36,78.67,71699667,0.0,1.0
2020-08-03 00:00:00+00:00,77.67,78.5,77.06,78.19,42628817,77.67,78.5,77.06,78.19,42628817,0.0,1.0
2020-08-04 00:00:00+00:00,85.04,85.805,77.99,78.03,155676106,85.04,85.805,77.99,78.03,155676106,0.0,1.0
2020-08-05 00:00:00+00:00,85.31,86.32,83.32,84.96,65737306,85.31,86.32,83.32,84.96,65737306,0.0,1.0
2020-08-06 00:00:00+00:00,86.71,86.98,84.7801,85.49,53961739,86.71,86.98,84.7801,85.49,53961739,0.0,1.0
2020-08-07 00:00:00+00:00,84.85,87.29,82.6702,86.67,66543157,84.85,87.29,82.6702,86.67,66543157,0.0,1.0
2020-08-10 00:00:00+00:00,82.24,85.16,79.3221,85.05,70536143,82.24,85.16,79.3221,85.05,70536143,0.0,1.0
2020-08-11 00:00:00+00:00,76.88,80.71,76.1,80.71,77877661,76.88,80.71,76.1,80.71,77877661,0.0,1.0
2020-08-12 00:00:00+00:00,82.61,82.88,77.55,78.43,88607829,82.61,82.88,77.55,78.43,88607829,0.0,1.0
2020-08-13 00:00:00+00:00,81.84,84.02,81.54,82.88,57407355,81.84,84.02,81.54,82.88,57407355,0.0,1.0
2020-08-14 00:00:00+00:00,81.3,83.24,80.88,81.81,42389477,81.3,83.24,80.88,81.81,42389477,0.0,1.0
2020-08-17 00:00:00+00:00,82.42,83.06,81.552,82.09,31210082,82.42,83.06,81.552,82.09,31210082,0.0,1.0
2020-08-18 00:00:00+00:00,81.66,82.88,81.03,82.8,30970483,81.66,82.88,81.03,82.8,30970483,0.0,1.0
2020-08-19 00:00:00+00:00,81.09,81.85,80.45,81.7757,37507391,81.09,81.85,80.45,81.7757,37507391,0.0,1.0
2020-08-20 00:00:00+00:00,82.77,82.84,79.12,79.74,42948860,82.77,82.84,79.12,79.74,42948860,0.0,1.0
2020-08-21 00:00:00+00:00,83.81,84.41,82.23,83.29,48280318,83.81,84.41,82.23,83.29,48280318,0.0,1.0
2020-08-24 00:00:00+00:00,83.08,85.33,82.55,84.55,38036068,83.08,85.33,82.55,84.55,38036068,0.0,1.0
2020-08-25 00:00:00+00:00,86.35,86.62,82.35,83.36,49234399,86.35,86.62,82.35,83.36,49234399,0.0,1.0
2020-08-26 00:00:00+00:00,86.02,87.72,85.2,86.9694,47157273,86.02,87.72,85.2,86.9694,47157273,0.0,1.0
2020-08-27 00:00:00+00:00,83.8,86.58,82.94,86.35,42194222,83.8,86.58,82.94,86.35,42194222,0.0,1.0
2020-08-28 00:00:00+00:00,85.55,86.04,84.19,84.3,40723268,85.55,86.04,84.19,84.3,40723268,0.0,1.0
2020-08-31 00:00:00+00:00,90.82,92.64,85.05,85.05,90655945,90.82,92.64,85.05,85.05,90655945,0.0,1.0
2020-09-01 00:00:00+00:00,92.18,92.51,90.1899,91.92,56117100,92.18,92.51,90.1899,91.92,56117100,0.0,1.0
2020-09-02 00:00:00+00:00,90.22,94.28,88.74,94.01,50366918,90.22,94.28,88.74,94.01,50366918,0.0,1.0
2020-09-03 00:00:00+00:00,82.54,88.47,81.59,87.84,87462687,82.54,88.47,81.59,87.84,87462687,0.0,1.0
2020-09-04 00:00:00+00:00,82.01,84.39,76.33,81.45,82267760,82.01,84.39,76.33,81.45,82267760,0.0,1.0
2020-09-08 00:00:00+00:00,78.69,81.88,78.0,78.05,54955672,78.69,81.88,78.0,78.05,54955672,0.0,1.0
2020-09-09 00:00:00+00:00,81.91,82.44,79.28,81.4,54163878,81.91,82.44,79.28,81.4,54163878,0.0,1.0
2020-09-10 00:00:00+00:00,78.98,83.31,78.38,83.07,51499396,78.98,83.31,78.38,83.07,51499396,0.0,1.0
2020-09-11 00:00:00+00:00,76.34,79.99,75.04,79.82,54762990,76.34,79.99,75.04,79.82,54762990,0.0,1.0
2020-09-14 00:00:00+00:00,77.9,78.82,76.26,76.8,47448681,77.9,78.82,76.26,76.8,47448681,0.0,1.0
2020-09-15 00:00:00+00:00,78.93,80.33,75.97,77.66,57874428,78.93,80.33,75.97,77.66,57874428,0.0,1.0
2020-09-16 00:00:00+00:00,76.66,79.72,76.54,79.35,38445668,76.66,79.72,76.54,79.35,38445668,0.0,1.0
2020-09-17 00:00:00+00:00,76.55,76.625,74.2,74.88,55619100,76.55,76.625,74.2,74.88,55619100,0.0,1.0
2020-09-18 00:00:00+00:00,74.93,77.4,73.85,77.0,51082857,74.93,77.4,73.85,77.0,51082857,0.0,1.0
2020-09-21 00:00:00+00:00,77.94,77.98,73.88,74.23,61311970,77.94,77.98,73.88,74.23,61311970,0.0,1.0
2020-09-22 00:00:00+00:00,77.7,78.79,75.27,78.365,56044742,77.7,78.79,75.27,78.365,56044742,0.0,1.0
2020-09-23 00:00:00+00:00,74.73,77.91,74.34,77.39,42327514,74.73,77.91,74.34,77.39,42327514,0.0,1.0
2020-09-24 00:00:00+00:00,75.82,77.25,73.9,74.54,57540926,75.82,77.25,73.9,74.54,57540926,0.0,1.0
2020-09-25 00:00:00+00:00,78.055,78.2,74.67,76.35,48206242,78.055,78.2,74.67,76.35,48206242,0.0,1.0
2020-09-28 00:00:00+00:00,79.48,79.57,77.52,79.1165,48005488,79.48,79.57,77.52,79.1165,48005488,0.0,1.0
2020-09-29 00:00:00+00:00,81.77,82.55,79.3,79.3,61633672,81.77,82.55,79.3,79.3,61633672,0.0,1.0
2020-09-30 00:00:00+00:00,81.99,82.94,80.66,81.75,51533664,81.99,82.94,80.66,81.75,51533664,0.0,1.0
2020-10-01 00:00:00+00:00,84.86,85.25,82.86,83.06,52177123,84.86,85.25,82.86,83.06,52177123,0.0,1.0
2020-10-02 00:00:00+00:00,81.8,84.65,81.66,82.58,52855053,81.8,84.65,81.66,82.58,52855053,0.0,1.0
2020-10-05 00:00:00+00:00,86.15,86.2819,82.55,82.55,47056522,86.15,86.2819,82.55,82.55,47056522,0.0,1.0
2020-10-06 00:00:00+00:00,84.48,87.25,83.54,86.21,52725432,84.48,87.25,83.54,86.21,52725432,0.0,1.0
2020-10-07 00:00:00+00:00,86.69,87.79,85.65,86.1,43045723,86.69,87.79,85.65,86.1,43045723,0.0,1.0
2020-10-08 00:00:00+00:00,86.51,88.72,85.95,88.11,54240704,86.51,88.72,85.95,88.11,54240704,0.0,1.0
2020-10-09 00:00:00+00:00,83.1,85.75,82.3465,84.74,80354389,83.1,85.75,82.3465,84.74,80354389,0.0,1.0
2020-10-12 00:00:00+00:00,84.29,85.13,83.12,83.65,47669699,84.29,85.13,83.12,83.65,47669699,0.0,1.0
2020-10-13 00:00:00+00:00,85.28,86.09,83.9733,84.86,42764096,85.28,86.09,83.9733,84.86,42764096,0.0,1.0
2020-10-14 00:00:00+00:00,84.21,85.96,83.46,85.86,40446735,84.21,85.96,83.46,85.86,40446735,0.0,1.0
2020-10-15 00:00:00+00:00,83.13,84.7201,82.42,83.4,33696414,83.13,84.7201,82.42,83.4,33696414,0.0,1.0
2020-10-16 00:00:00+00:00,83.17,83.99,82.41,83.54,31474294,83.17,83.99,82.41,83.54,31474294,0.0,1.0
2020-10-19 00:00:00+00:00,82.0,84.65,81.53,83.62,36689114,82.0,84.65,81.53,83.62,36689114,0.0,1.0
2020-10-20 00:00:00+00:00,81.56,82.69,80.58,82.16,38219415,81.56,82.69,80.58,82.16,38219415,0.0,1.0
2020-10-21 00:00:00+00:00,79.2,81.9299,79.19,81.72,36426409,79.2,81.9299,79.19,81.72,36426409,0.0,1.0
2020-10-22 00:00:00+00:00,79.42,80.82,78.42,79.65,38006798,79.42,80.82,78.42,79.65,38006798,0.0,1.0
2020-10-23 00:00:00+00:00,81.96,81.99,79.33,80.93,46557675,81.96,81.99,79.33,80.93,46557675,0.0,1.0
2020-10-26 00:00:00+00:00,82.23,84.97,80.86,82.55,69423675,82.23,84.97,80.86,82.55,69423675,0.0,1.0
2020-10-27 00:00:00+00:00,78.88,82.37,77.57,82.0,156669494,78.88,82.37,77.57,82.0,156669494,0.0,1.0
2020-10-28 00:00:00+00:00,76.4,78.96,75.76,78.73,76529910,76.4,78.96,75.76,78.73,76529910,0.0,1.0
2020-10-29 00:00:00+00:00,78.02,79.18,76.29,76.75,52784087,78.02,79.18,76.29,76.75,52784087,0.0,1.0
2020-10-30 00:00:00+00:00,75.29,77.7,74.23,77.09,51426174,75.29,77.7,74.23,77.09,51426174,0.0,1.0
2020-11-02 00:00:00+00:00,74.7,76.3398,73.7573,75.85,45760659,74.7,76.3398,73.7573,75.85,45760659,0.0,1.0
2020-11-03 00:00:00+00:00,76.58,77.08,74.6,74.93,41231803,76.58,77.08,74.6,74.93,41231803,0.0,1.0
2020-11-04 00:00:00+00:00,81.35,81.85,78.975,80.25,66579711,81.35,81.85,78.975,80.25,66579711,0.0,1.0
2020-11-05 00:00:00+00:00,83.0,83.5,81.85,83.27,46542267,83.0,83.5,81.85,83.27,46542267,0.0,1.0
2020-11-06 00:00:00+00:00,85.88,86.09,82.67,83.52,53829936,85.88,86.09,82.67,83.52,53829936,0.0,1.0
2020-11-09 00:00:00+00:00,83.12,87.05,82.77,84.24,58580684,83.12,87.05,82.77,84.24,58580684,0.0,1.0
2020-11-10 00:00:00+00:00,77.99,82.13,77.63,81.93,67137196,77.99,82.13,77.63,81.93,67137196,0.0,1.0
2020-11-11 00:00:00+00:00,81.28,81.47,78.97,79.39,44611250,81.28,81.47,78.97,79.39,44611250,0.0,1.0
2020-11-12 00:00:00+00:00,81.84,83.0,80.3,81.32,37303106,81.84,83.0,80.3,81.32,37303106,0.0,1.0
2020-11-13 00:00:00+00:00,81.43,83.11,80.7,82.73,30448461,81.43,83.11,80.7,82.73,30448461,0.0,1.0
2020-11-16 00:00:00+00:00,83.73,83.78,80.48,81.21,38640842,83.73,83.78,80.48,81.21,38640842,0.0,1.0
2020-11-17 00:00:00+00:00,83.36,84.81,82.91,83.9298,29473512,83.36,84.81,82.91,83.9298,29473512,0.0,1.0
2020-11-18 00:00:00+00:00,82.54,83.955,82.22,83.0135,29967958,82.54,83.955,82.22,83.0135,29967958,0.0,1.0
2020-11-19 00:00:00+00:00,85.54,85.64,81.72,82.39,50116759,85.54,85.64,81.72,82.39,50116759,0.0,1.0
2020-11-20 00:00:00+00:00,84.64,86.1,84.47,85.28,35008427,84.64,86.1,84.47,85.28,35008427,0.0,1.0
2020-11-23 00:00:00+00:00,85.31,87.54,84.615,85.52,46504964,85.31,87.54,84.615,85.52,46504964,0.0,1.0
2020-11-24 00:00:00+00:00,85.07,86.11,83.32,85.7235,36297944,85.07,86.11,83.32,85.7235,36297944,0.0,1.0
2020-11-25 00:00:00+00:00,86.71,87.84,85.52,85.76,41349727,86.71,87.84,85.52,85.76,41349727,0.0,1.0
2020-11-27 00:00:00+00:00,87.19,88.0,86.3598,87.99,22717638,87.19,88.0,86.3598,87.99,22717638,0.0,1.0
2020-11-30 00:00:00+00:00,92.66,92.74,86.53,87.33,84482979,92.66,92.74,86.53,87.33,84482979,0.0,1.0
2020-12-01 00:00:00+00:00,92.63,93.9,90.78,92.25,58200308,92.63,93.9,90.78,92.25,58200308,0.0,1.0
2020-12-02 00:00:00+00:00,93.74,96.37,92.5253,92.89,57988822,93.74,96.37,92.5253,92.89,57988822,0.0,1.0
2020-12-03 00:00:00+00:00,92.31,94.7,92.01,94.06,35859716,92.31,94.7,92.01,94.06,35859716,0.0,1.0
2020-12-04 00:00:00+00:00,94.04,94.58,90.63,92.58,45570273,94.04,94.58,90.63,92.58,45570273,0.0,1.0
2020-12-07 00:00:00+00:00,94.07,95.0,92.97,94.95,39815654,94.07,95.0,92.97,94.95,39815654,0.0,1.0
2020-12-08 00:00:00+00:00,92.92,94.74,91.9,94.05,33907510,92.92,94.74,91.9,94.05,33907510,0.0,1.0
2020-12-09 00:00:00+00:00,89.83,94.7,89.16,92.76,52170379,89.83,94.7,89.16,92.76,52170379,0.0,1.0
2020-12-10 00:00:00+00:00,91.66,92.09,89.0297,89.55,33804412,91.66,92.09,89.0297,89.55,33804412,0.0,1.0
2020-12-11 00:00:00+00:00,91.65,92.33,90.16,91.54,28368145,91.65,92.33,90.16,91.54,28368145,0.0,1.0
2020-12-14 00:00:00+00:00,94.78,95.41,91.85,92.205,48026426,94.78,95.41,91.85,92.205,48026426,0.0,1.0
2020-12-15 00:00:00+00:00,97.12,97.98,95.45,95.93,57305100,97.12,97.98,95.45,95.93,57305100,0.0,1.0
2020-12-16 00:00:00+00:00,96.85,97.27,95.46,97.04,34909037,96.85,97.27,95.46,97.04,34909037,0.0,1.0
2020-12-17 00:00:00+00:00,96.84,97.92,96.25,97.55,32023734,96.84,97.92,96.25,97.55,32023734,0.0,1.0
2020-12-18 00:00:00+00:00,95.92,97.68,93.56,97.27,51823103,95.92,97.68,93.56,97.27,51823103,0.0,1.0
2020-12-21 00:00:00+00:00,93.23,95.28,91.08,94.25,47093891,93.23,95.28,91.08,94.25,47093891,0.0,1.0
